"variable","definition","unit"
"inflation_cpi","Inflation, consumer prices (annual %)","percent"
"exrate_lcu_per_usd","Official exchange rate (LCU per USD)","LCU/USD"
"broad_money_growth","Broad money growth (annual %)","percent"
"tot_index","Net barter terms of trade index (2015=100)","index"
"gov_cons_gdp","Government consumption (% GDP)","percent"
"fx_depr","Exchange-rate depreciation = 100 x diff(log FX)","percent"
"tot_growth","Terms-of-trade growth = 100 x diff(log ToT)","percent"
"money_growth_l1","Lagged broad money growth","percent"
"fx_depr_l1","Lagged FX depreciation","percent"
"tot_growth_l1","Lagged ToT growth","percent"
"gov_cons_l1","Lagged government consumption share","percent"
"infl_vol_5y","Rolling 5-year SD of inflation","percent"
"fx_vol_5y","Rolling 5-year SD of FX depreciation","percent"
"post_stabilization","Indicator for 1995 onward","boolean"
"regime","Hyperinflation / pre-stabilization / post-stabilization","category"
"log1p_inflation","log(1 + inflation)","log points"
"inflation_l1","Lagged inflation","percent"
