"year","regime","inflation_cpi","fx_depr","broad_money_growth","tot_growth","gov_cons_gdp"
1990,"Hyperinflation",7481.66361124526,425.518360672484,6384.91591214941,-4.29361210608441,7.27374848190843
1989,"Hyperinflation",3398.67901005332,302.989818568305,1917.28170515126,-15.9545493715821,8.58435859444137
1988,"Hyperinflation",667.019328585961,203.499709122763,620.951252281666,8.34351544881899,8.5077600860946
1991,"Hyperinflation",409.530166622023,141.379885268107,230.59502238985,-6.25880479993075,7.61217251643866
1985,"Hyperinflation",163.399505243688,115.2367117213,156.546456269228,-13.6342752108603,11.7228852406873
1983,"Hyperinflation",111.150635209157,84.7898799937182,103.345493852182,-3.4846731493217,13.4517636112299
1984,"Hyperinflation",110.208519562543,75.5505873561448,127.219328088454,1.31852346389074,11.7997926413524
1987,"Pre-stabilization",85.8223062381846,18.8209270699902,106.514896225381,-0.461894589238376,12.2047640228817
1986,"Pre-stabilization",77.9210255473595,23.9685560969999,53.9779955225038,-27.9209557202119,12.4309304720086
1981,"Pre-stabilization",75.4332687576064,37.9832887174073,68.678476250196,-19.8418483805095,13.1256120391474
1992,"Pre-stabilization",73.5282942442641,47.7927920258929,88.1788916992412,9.1807549711846,7.85955799014648
1982,"Pre-stabilization",64.4481585387929,50.1839623282869,71.9563197026022,-0.69204428995695,13.8129329400685
1980,"Pre-stabilization",59.1450712444914,NA,83.4891413778225,NA,13.3615299026563
1993,"Pre-stabilization",48.5799864468885,46.7484866178126,71.7970649690245,-6.1404011275096,7.98563822184906
1994,"Pre-stabilization",23.7369050565046,9.88925303003164,37.2170103202771,7.01376909473357,8.79700544740766
