"term","estimate","std.error","statistic","p.value","std_error_type","model"
"(Intercept)",22.4968234350865,184.749311749338,0.121769457336921,0.90375879397609,"OLS","lagged_aux"
"inflation_l1",-0.0224281992721903,0.0232670625290138,-0.963946318716536,0.34150369286315,"OLS","lagged_aux"
"broad_money_growth",1.06546111568584,0.047023289627161,22.6581577795533,6.76477488907532e-23,"OLS","lagged_aux"
"fx_depr",2.15915350972271,0.615371928362062,3.50869679003678,0.00122876606070909,"OLS","lagged_aux"
"tot_growth",-2.3259699339941,2.4951229291622,-0.93220654854673,0.357439956413252,"OLS","lagged_aux"
"gov_cons_gdp",-5.1751145246799,15.539475494668,-0.333030193101151,0.741043281864045,"OLS","lagged_aux"
"(Intercept)",22.4968234350865,107.554258301877,0.209167203514562,0.835496834154983,"HC1","lagged_aux"
"inflation_l1",-0.0224281992721903,0.0345869105973221,-0.648459168074028,0.520803160697398,"HC1","lagged_aux"
"broad_money_growth",1.06546111568584,0.0984894622070111,10.8180214594572,7.29540999312468e-13,"HC1","lagged_aux"
"fx_depr",2.15915350972271,1.7913333584894,1.20533316676662,0.235938051085956,"HC1","lagged_aux"
"tot_growth",-2.3259699339941,2.36738203046869,-0.982507218547067,0.332407326961154,"HC1","lagged_aux"
"gov_cons_gdp",-5.1751145246799,10.005752751988,-0.517213912131867,0.608170345797901,"HC1","lagged_aux"
"(Intercept)",22.4968234350865,111.803217159465,0.201218032956952,0.841660711174918,"Newey-West","lagged_aux"
"inflation_l1",-0.0224281992721903,0.0259271096700216,-0.865048189236574,0.392740408863347,"Newey-West","lagged_aux"
"broad_money_growth",1.06546111568584,0.0856275609136802,12.4429693467495,1.33492790899463e-14,"Newey-West","lagged_aux"
"fx_depr",2.15915350972271,1.35204125869686,1.59695829978131,0.119017013137725,"Newey-West","lagged_aux"
"tot_growth",-2.3259699339941,2.58813120467322,-0.898706344482942,0.37478102792877,"Newey-West","lagged_aux"
"gov_cons_gdp",-5.1751145246799,9.99499425390059,-0.517770635301795,0.607785738045423,"Newey-West","lagged_aux"
